2023-08-14 21:55:56,118, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:55:56,118, [DEBUG], no_gui_prototype, SEND ATI
2023-08-14 21:55:57,124, [DEBUG], no_gui_prototype, READ ATI

2023-08-14 21:55:57,129, [DEBUG], no_gui_prototype, READ RFD SiK 3.57 on RFD868X

2023-08-14 21:55:57,130, [DEBUG], no_gui_prototype, SEND ATS15=1
2023-08-14 21:55:58,134, [DEBUG], no_gui_prototype, READ ATS15=1

2023-08-14 21:55:58,134, [DEBUG], no_gui_prototype, READ OK

2023-08-14 21:55:58,140, [DEBUG], no_gui_prototype, SEND AT&E=00000000000000000000000000000000
2023-08-14 21:55:59,142, [DEBUG], no_gui_prototype, READ AT&E=00000000000000000000000000000000

2023-08-14 21:55:59,159, [DEBUG], no_gui_prototype, READ key len 16

